S No,Fuel,State,Year,Month,Value
1,CNG ONLY,Madhya Pradesh(53),2026,FEB,922
2,DIESEL,Madhya Pradesh(53),2026,FEB,"16,442"
3,DIESEL/HYBRID,Madhya Pradesh(53),2026,FEB,16
4,ELECTRIC(BOV),Madhya Pradesh(53),2026,FEB,"1,131"
5,LPG ONLY,Madhya Pradesh(53),2026,FEB,7
6,NOT APPLICABLE,Madhya Pradesh(53),2026,FEB,39
7,PETROL,Madhya Pradesh(53),2026,FEB,"27,425"
8,PETROL/CNG,Madhya Pradesh(53),2026,FEB,"1,420"
9,PETROL(E20)/CNG,Madhya Pradesh(53),2026,FEB,"4,268"
10,PETROL(E20)/HYBRID,Madhya Pradesh(53),2026,FEB,528
11,PETROL(E20)/HYBRID/CNG,Madhya Pradesh(53),2026,FEB,0
12,PETROL(E20)/LPG,Madhya Pradesh(53),2026,FEB,2
13,PETROL/ETHANOL,Madhya Pradesh(53),2026,FEB,"48,158"
14,PETROL/HYBRID,Madhya Pradesh(53),2026,FEB,111
15,PETROL/HYBRID/CNG,Madhya Pradesh(53),2026,FEB,0
16,PETROL/LPG,Madhya Pradesh(53),2026,FEB,3
17,PURE EV,Madhya Pradesh(53),2026,FEB,"8,561"
18,STRONG HYBRID EV,Madhya Pradesh(53),2026,FEB,102
1,DIESEL,Mizoram(12),2026,JAN,337
2,ELECTRIC(BOV),Mizoram(12),2026,JAN,52
3,PETROL,Mizoram(12),2026,JAN,"1,516"
4,PETROL(E20)/HYBRID,Mizoram(12),2026,JAN,24
5,PETROL/ETHANOL,Mizoram(12),2026,JAN,"1,263"
6,PETROL/HYBRID,Mizoram(12),2026,JAN,3
7,PURE EV,Mizoram(12),2026,JAN,30
8,STRONG HYBRID EV,Mizoram(12),2026,JAN,4
1,DIESEL,Mizoram(12),2026,FEB,232
2,ELECTRIC(BOV),Mizoram(12),2026,FEB,44
3,PETROL,Mizoram(12),2026,FEB,990
4,PETROL(E20)/HYBRID,Mizoram(12),2026,FEB,15
5,PETROL/ETHANOL,Mizoram(12),2026,FEB,607
6,PETROL/HYBRID,Mizoram(12),2026,FEB,2
7,PURE EV,Mizoram(12),2026,FEB,23
8,STRONG HYBRID EV,Mizoram(12),2026,FEB,0
1,CNG ONLY,Nagaland(9),2026,JAN,100
2,DIESEL,Nagaland(9),2026,JAN,"1,475"
3,DIESEL/HYBRID,Nagaland(9),2026,JAN,1
4,PETROL,Nagaland(9),2026,JAN,294
5,PETROL(E20)/HYBRID,Nagaland(9),2026,JAN,96
6,PETROL/ETHANOL,Nagaland(9),2026,JAN,914
7,PETROL/HYBRID,Nagaland(9),2026,JAN,31
8,PURE EV,Nagaland(9),2026,JAN,3
9,STRONG HYBRID EV,Nagaland(9),2026,JAN,7
1,CNG ONLY,Nagaland(9),2026,FEB,10
2,DIESEL,Nagaland(9),2026,FEB,"1,082"
3,DIESEL/HYBRID,Nagaland(9),2026,FEB,0
4,PETROL,Nagaland(9),2026,FEB,277
5,PETROL(E20)/HYBRID,Nagaland(9),2026,FEB,51
6,PETROL/ETHANOL,Nagaland(9),2026,FEB,667
7,PETROL/HYBRID,Nagaland(9),2026,FEB,23
8,PURE EV,Nagaland(9),2026,FEB,3
9,STRONG HYBRID EV,Nagaland(9),2026,FEB,2
1,CNG ONLY,Odisha(39),2026,JAN,259
2,DIESEL,Odisha(39),2026,JAN,"8,872"
3,DIESEL/HYBRID,Odisha(39),2026,JAN,21
4,ELECTRIC(BOV),Odisha(39),2026,JAN,504
5,ETHANOL,Odisha(39),2026,JAN,1
6,NOT APPLICABLE,Odisha(39),2026,JAN,227
7,PETROL,Odisha(39),2026,JAN,"18,015"
8,PETROL/CNG,Odisha(39),2026,JAN,153
9,PETROL(E20)/CNG,Odisha(39),2026,JAN,765
10,PETROL(E20)/HYBRID,Odisha(39),2026,JAN,852
11,PETROL/ETHANOL,Odisha(39),2026,JAN,"49,412"
12,PETROL/HYBRID,Odisha(39),2026,JAN,108
13,PLUG-IN HYBRID EV,Odisha(39),2026,JAN,1
14,PURE EV,Odisha(39),2026,JAN,"7,894"
15,STRONG HYBRID EV,Odisha(39),2026,JAN,158
1,CNG ONLY,Odisha(39),2026,FEB,167
2,DIESEL,Odisha(39),2026,FEB,"6,081"
3,DIESEL/HYBRID,Odisha(39),2026,FEB,10
4,ELECTRIC(BOV),Odisha(39),2026,FEB,401
5,ETHANOL,Odisha(39),2026,FEB,0
6,NOT APPLICABLE,Odisha(39),2026,FEB,210
7,PETROL,Odisha(39),2026,FEB,"14,144"
8,PETROL/CNG,Odisha(39),2026,FEB,81
9,PETROL(E20)/CNG,Odisha(39),2026,FEB,466
10,PETROL(E20)/HYBRID,Odisha(39),2026,FEB,433
11,PETROL/ETHANOL,Odisha(39),2026,FEB,"35,493"
12,PETROL/HYBRID,Odisha(39),2026,FEB,36
13,PLUG-IN HYBRID EV,Odisha(39),2026,FEB,0
14,PURE EV,Odisha(39),2026,FEB,"5,464"
15,STRONG HYBRID EV,Odisha(39),2026,FEB,75
1,CNG ONLY,Punjab(96),2026,JAN,240
2,DIESEL,Punjab(96),2026,JAN,"13,780"
3,DIESEL/HYBRID,Punjab(96),2026,JAN,59
4,ELECTRIC(BOV),Punjab(96),2026,JAN,849
5,PETROL,Punjab(96),2026,JAN,"15,378"
6,PETROL/CNG,Punjab(96),2026,JAN,249
7,PETROL(E20)/CNG,Punjab(96),2026,JAN,550
8,PETROL(E20)/HYBRID,Punjab(96),2026,JAN,"1,492"
9,PETROL/ETHANOL,Punjab(96),2026,JAN,"45,401"
10,PETROL/HYBRID,Punjab(96),2026,JAN,451
11,PURE EV,Punjab(96),2026,JAN,"2,980"
12,STRONG HYBRID EV,Punjab(96),2026,JAN,550
1,CNG ONLY,Punjab(96),2026,FEB,259
2,DIESEL,Punjab(96),2026,FEB,"9,307"
3,DIESEL/HYBRID,Punjab(96),2026,FEB,49
4,ELECTRIC(BOV),Punjab(96),2026,FEB,467
5,PETROL,Punjab(96),2026,FEB,"8,110"
6,PETROL/CNG,Punjab(96),2026,FEB,98
7,PETROL(E20)/CNG,Punjab(96),2026,FEB,306
8,PETROL(E20)/HYBRID,Punjab(96),2026,FEB,725
9,PETROL/ETHANOL,Punjab(96),2026,FEB,"27,473"
10,PETROL/HYBRID,Punjab(96),2026,FEB,231
11,PURE EV,Punjab(96),2026,FEB,"1,834"
12,STRONG HYBRID EV,Punjab(96),2026,FEB,328
1,CNG ONLY,Puducherry(8),2026,JAN,11
2,DIESEL,Puducherry(8),2026,JAN,327
3,DIESEL/HYBRID,Puducherry(8),2026,JAN,5
4,ELECTRIC(BOV),Puducherry(8),2026,JAN,66
5,LPG ONLY,Puducherry(8),2026,JAN,3
6,PETROL,Puducherry(8),2026,JAN,"2,955"
7,PETROL/CNG,Puducherry(8),2026,JAN,15
8,PETROL(E20)/CNG,Puducherry(8),2026,JAN,67
9,PETROL(E20)/HYBRID,Puducherry(8),2026,JAN,146
10,PETROL/ETHANOL,Puducherry(8),2026,JAN,"5,189"
11,PETROL/HYBRID,Puducherry(8),2026,JAN,26
12,PURE EV,Puducherry(8),2026,JAN,522
13,STRONG HYBRID EV,Puducherry(8),2026,JAN,52
1,CNG ONLY,Puducherry(8),2026,FEB,17
2,DIESEL,Puducherry(8),2026,FEB,246
3,DIESEL/HYBRID,Puducherry(8),2026,FEB,5
4,ELECTRIC(BOV),Puducherry(8),2026,FEB,39
5,LPG ONLY,Puducherry(8),2026,FEB,5
6,PETROL,Puducherry(8),2026,FEB,"1,689"
7,PETROL/CNG,Puducherry(8),2026,FEB,5
8,PETROL(E20)/CNG,Puducherry(8),2026,FEB,38
9,PETROL(E20)/HYBRID,Puducherry(8),2026,FEB,61
10,PETROL/ETHANOL,Puducherry(8),2026,FEB,"2,805"
11,PETROL/HYBRID,Puducherry(8),2026,FEB,17
12,PURE EV,Puducherry(8),2026,FEB,300
13,STRONG HYBRID EV,Puducherry(8),2026,FEB,26
1,CNG ONLY,Rajasthan(60),2026,JAN,"2,247"
2,DIESEL,Rajasthan(60),2026,JAN,"29,549"
3,DIESEL/HYBRID,Rajasthan(60),2026,JAN,41
4,ELECTRIC(BOV),Rajasthan(60),2026,JAN,"1,381"
5,LPG ONLY,Rajasthan(60),2026,JAN,166
6,NOT APPLICABLE,Rajasthan(60),2026,JAN,403
7,PETROL,Rajasthan(60),2026,JAN,"50,192"
8,PETROL/CNG,Rajasthan(60),2026,JAN,"2,135"
9,PETROL(E20)/CNG,Rajasthan(60),2026,JAN,"6,939"
10,PETROL(E20)/HYBRID,Rajasthan(60),2026,JAN,"1,028"
11,PETROL(E20)/LPG,Rajasthan(60),2026,JAN,42
12,PETROL/ETHANOL,Rajasthan(60),2026,JAN,"49,967"
13,PETROL/HYBRID,Rajasthan(60),2026,JAN,236
14,PETROL/LPG,Rajasthan(60),2026,JAN,49
15,PURE EV,Rajasthan(60),2026,JAN,"8,714"
16,STRONG HYBRID EV,Rajasthan(60),2026,JAN,315
1,CNG ONLY,Rajasthan(60),2026,FEB,"1,444"
2,DIESEL,Rajasthan(60),2026,FEB,"18,708"
3,DIESEL/HYBRID,Rajasthan(60),2026,FEB,42
4,ELECTRIC(BOV),Rajasthan(60),2026,FEB,940
5,LPG ONLY,Rajasthan(60),2026,FEB,148
6,NOT APPLICABLE,Rajasthan(60),2026,FEB,254
7,PETROL,Rajasthan(60),2026,FEB,"32,550"
8,PETROL/CNG,Rajasthan(60),2026,FEB,873
9,PETROL(E20)/CNG,Rajasthan(60),2026,FEB,"3,883"
10,PETROL(E20)/HYBRID,Rajasthan(60),2026,FEB,400
11,PETROL(E20)/LPG,Rajasthan(60),2026,FEB,2
12,PETROL/ETHANOL,Rajasthan(60),2026,FEB,"31,292"
13,PETROL/HYBRID,Rajasthan(60),2026,FEB,110
14,PETROL/LPG,Rajasthan(60),2026,FEB,4
15,PURE EV,Rajasthan(60),2026,FEB,"5,893"
16,STRONG HYBRID EV,Rajasthan(60),2026,FEB,165
1,DIESEL,Sikkim(9),2026,JAN,252
2,DIESEL/HYBRID,Sikkim(9),2026,JAN,2
3,ELECTRIC(BOV),Sikkim(9),2026,JAN,0
4,PETROL,Sikkim(9),2026,JAN,100
5,PETROL(E20)/HYBRID,Sikkim(9),2026,JAN,4
6,PETROL/ETHANOL,Sikkim(9),2026,JAN,805
7,PETROL/HYBRID,Sikkim(9),2026,JAN,2
8,PURE EV,Sikkim(9),2026,JAN,3
9,STRONG HYBRID EV,Sikkim(9),2026,JAN,0
1,DIESEL,Sikkim(9),2026,FEB,169
2,DIESEL/HYBRID,Sikkim(9),2026,FEB,0
3,ELECTRIC(BOV),Sikkim(9),2026,FEB,6
4,PETROL,Sikkim(9),2026,FEB,67
5,PETROL(E20)/HYBRID,Sikkim(9),2026,FEB,1
6,PETROL/ETHANOL,Sikkim(9),2026,FEB,487
7,PETROL/HYBRID,Sikkim(9),2026,FEB,1
8,PURE EV,Sikkim(9),2026,FEB,0
9,STRONG HYBRID EV,Sikkim(9),2026,FEB,1
1,CNG ONLY,Tamil Nadu(148),2026,JAN,"2,578"
2,DIESEL,Tamil Nadu(148),2026,JAN,"18,720"
3,DIESEL/HYBRID,Tamil Nadu(148),2026,JAN,50
4,ELECTRIC(BOV),Tamil Nadu(148),2026,JAN,"1,719"
5,ETHANOL,Tamil Nadu(148),2026,JAN,0
6,LPG ONLY,Tamil Nadu(148),2026,JAN,356
7,NOT APPLICABLE,Tamil Nadu(148),2026,JAN,0
8,PETROL,Tamil Nadu(148),2026,JAN,"62,685"
9,PETROL/CNG,Tamil Nadu(148),2026,JAN,528
10,PETROL(E20)/CNG,Tamil Nadu(148),2026,JAN,"2,448"
11,PETROL(E20)/HYBRID,Tamil Nadu(148),2026,JAN,"2,738"
12,PETROL/ETHANOL,Tamil Nadu(148),2026,JAN,"1,48,850"
13,PETROL/HYBRID,Tamil Nadu(148),2026,JAN,768
14,PURE EV,Tamil Nadu(148),2026,JAN,"17,111"
15,STRONG HYBRID EV,Tamil Nadu(148),2026,JAN,904
1,CNG ONLY,Tamil Nadu(148),2026,FEB,"2,277"
2,DIESEL,Tamil Nadu(148),2026,FEB,"14,267"
3,DIESEL/HYBRID,Tamil Nadu(148),2026,FEB,48
4,ELECTRIC(BOV),Tamil Nadu(148),2026,FEB,"1,328"
5,ETHANOL,Tamil Nadu(148),2026,FEB,1
6,LPG ONLY,Tamil Nadu(148),2026,FEB,350
7,NOT APPLICABLE,Tamil Nadu(148),2026,FEB,1
8,PETROL,Tamil Nadu(148),2026,FEB,"43,218"
9,PETROL/CNG,Tamil Nadu(148),2026,FEB,265
10,PETROL(E20)/CNG,Tamil Nadu(148),2026,FEB,"2,366"
11,PETROL(E20)/HYBRID,Tamil Nadu(148),2026,FEB,"1,405"
12,PETROL/ETHANOL,Tamil Nadu(148),2026,FEB,"1,00,383"
13,PETROL/HYBRID,Tamil Nadu(148),2026,FEB,284
14,PURE EV,Tamil Nadu(148),2026,FEB,"12,034"
15,STRONG HYBRID EV,Tamil Nadu(148),2026,FEB,549
1,CNG ONLY,Tripura(9),2026,JAN,261
2,DIESEL,Tripura(9),2026,JAN,355
3,DIESEL/HYBRID,Tripura(9),2026,JAN,1
4,ELECTRIC(BOV),Tripura(9),2026,JAN,174
5,PETROL,Tripura(9),2026,JAN,845
6,PETROL/CNG,Tripura(9),2026,JAN,58
7,PETROL(E20)/CNG,Tripura(9),2026,JAN,239
8,PETROL(E20)/HYBRID,Tripura(9),2026,JAN,37
9,PETROL/ETHANOL,Tripura(9),2026,JAN,"2,308"
10,PETROL/HYBRID,Tripura(9),2026,JAN,6
11,PURE EV,Tripura(9),2026,JAN,534
12,STRONG HYBRID EV,Tripura(9),2026,JAN,4
1,CNG ONLY,Tripura(9),2026,FEB,350
2,DIESEL,Tripura(9),2026,FEB,271
3,DIESEL/HYBRID,Tripura(9),2026,FEB,0
4,ELECTRIC(BOV),Tripura(9),2026,FEB,142
5,PETROL,Tripura(9),2026,FEB,516
6,PETROL/CNG,Tripura(9),2026,FEB,20
7,PETROL(E20)/CNG,Tripura(9),2026,FEB,143
8,PETROL(E20)/HYBRID,Tripura(9),2026,FEB,14
9,PETROL/ETHANOL,Tripura(9),2026,FEB,"1,486"
10,PETROL/HYBRID,Tripura(9),2026,FEB,3
11,PURE EV,Tripura(9),2026,FEB,346
12,STRONG HYBRID EV,Tripura(9),2026,FEB,0
1,CNG ONLY,Uttarakhand(21),2026,JAN,76
2,DIESEL,Uttarakhand(21),2026,JAN,"2,754"
3,DIESEL/HYBRID,Uttarakhand(21),2026,JAN,20
4,ELECTRIC(BOV),Uttarakhand(21),2026,JAN,483
5,NOT APPLICABLE,Uttarakhand(21),2026,JAN,40
6,PETROL,Uttarakhand(21),2026,JAN,"5,916"
7,PETROL/CNG,Uttarakhand(21),2026,JAN,174
8,PETROL(E20)/CNG,Uttarakhand(21),2026,JAN,481
9,PETROL(E20)/HYBRID,Uttarakhand(21),2026,JAN,674
10,PETROL/ETHANOL,Uttarakhand(21),2026,JAN,"16,348"
11,PETROL/HYBRID,Uttarakhand(21),2026,JAN,99
12,PURE EV,Uttarakhand(21),2026,JAN,"1,160"
13,STRONG HYBRID EV,Uttarakhand(21),2026,JAN,165
1,CNG ONLY,Uttarakhand(21),2026,FEB,66
2,DIESEL,Uttarakhand(21),2026,FEB,"1,530"
3,DIESEL/HYBRID,Uttarakhand(21),2026,FEB,10
4,ELECTRIC(BOV),Uttarakhand(21),2026,FEB,297
5,NOT APPLICABLE,Uttarakhand(21),2026,FEB,24
6,PETROL,Uttarakhand(21),2026,FEB,"3,263"
7,PETROL/CNG,Uttarakhand(21),2026,FEB,84
8,PETROL(E20)/CNG,Uttarakhand(21),2026,FEB,241
9,PETROL(E20)/HYBRID,Uttarakhand(21),2026,FEB,254
10,PETROL/ETHANOL,Uttarakhand(21),2026,FEB,"8,922"
11,PETROL/HYBRID,Uttarakhand(21),2026,FEB,50
12,PURE EV,Uttarakhand(21),2026,FEB,787
13,STRONG HYBRID EV,Uttarakhand(21),2026,FEB,67
1,CNG ONLY,Uttar Pradesh(77),2026,JAN,"5,054"
2,DIESEL,Uttar Pradesh(77),2026,JAN,"38,880"
3,DIESEL/HYBRID,Uttar Pradesh(77),2026,JAN,70
4,ELECTRIC(BOV),Uttar Pradesh(77),2026,JAN,"11,622"
5,LPG ONLY,Uttar Pradesh(77),2026,JAN,58
6,NOT APPLICABLE,Uttar Pradesh(77),2026,JAN,1
7,PETROL,Uttar Pradesh(77),2026,JAN,"1,18,074"
8,PETROL/CNG,Uttar Pradesh(77),2026,JAN,"5,046"
9,PETROL(E20)/CNG,Uttar Pradesh(77),2026,JAN,"17,132"
10,PETROL(E20)/HYBRID,Uttar Pradesh(77),2026,JAN,"2,629"
11,PETROL(E20)/HYBRID/CNG,Uttar Pradesh(77),2026,JAN,1
12,PETROL(E20)/LPG,Uttar Pradesh(77),2026,JAN,5
13,PETROL/ETHANOL,Uttar Pradesh(77),2026,JAN,"1,43,284"
14,PETROL/HYBRID,Uttar Pradesh(77),2026,JAN,600
15,PETROL/LPG,Uttar Pradesh(77),2026,JAN,12
16,PURE EV,Uttar Pradesh(77),2026,JAN,"22,430"
17,STRONG HYBRID EV,Uttar Pradesh(77),2026,JAN,"1,135"
1,CNG ONLY,Uttar Pradesh(77),2026,FEB,"2,683"
2,DIESEL,Uttar Pradesh(77),2026,FEB,"22,269"
3,DIESEL/HYBRID,Uttar Pradesh(77),2026,FEB,59
4,ELECTRIC(BOV),Uttar Pradesh(77),2026,FEB,"7,248"
5,LPG ONLY,Uttar Pradesh(77),2026,FEB,22
6,NOT APPLICABLE,Uttar Pradesh(77),2026,FEB,0
7,PETROL,Uttar Pradesh(77),2026,FEB,"89,680"
8,PETROL/CNG,Uttar Pradesh(77),2026,FEB,"1,768"
9,PETROL(E20)/CNG,Uttar Pradesh(77),2026,FEB,"8,623"
10,PETROL(E20)/HYBRID,Uttar Pradesh(77),2026,FEB,925
11,PETROL(E20)/HYBRID/CNG,Uttar Pradesh(77),2026,FEB,0
12,PETROL(E20)/LPG,Uttar Pradesh(77),2026,FEB,0
13,PETROL/ETHANOL,Uttar Pradesh(77),2026,FEB,"98,186"
14,PETROL/HYBRID,Uttar Pradesh(77),2026,FEB,324
15,PETROL/LPG,Uttar Pradesh(77),2026,FEB,0
16,PURE EV,Uttar Pradesh(77),2026,FEB,"13,165"
17,STRONG HYBRID EV,Uttar Pradesh(77),2026,FEB,509
1,CNG ONLY,West Bengal(59),2026,JAN,214
2,DIESEL,West Bengal(59),2026,JAN,"7,329"
3,DIESEL/HYBRID,West Bengal(59),2026,JAN,15
4,ELECTRIC(BOV),West Bengal(59),2026,JAN,"13,442"
5,ETHANOL,West Bengal(59),2026,JAN,0
6,LPG ONLY,West Bengal(59),2026,JAN,460
7,NOT APPLICABLE,West Bengal(59),2026,JAN,44
8,PETROL,West Bengal(59),2026,JAN,"21,438"
9,PETROL/CNG,West Bengal(59),2026,JAN,134
10,PETROL(E20)/CNG,West Bengal(59),2026,JAN,"1,036"
11,PETROL(E20)/HYBRID,West Bengal(59),2026,JAN,789
12,PETROL(E20)/LPG,West Bengal(59),2026,JAN,24
13,PETROL/ETHANOL,West Bengal(59),2026,JAN,"68,220"
14,PETROL/HYBRID,West Bengal(59),2026,JAN,171
15,PETROL/LPG,West Bengal(59),2026,JAN,44
16,PURE EV,West Bengal(59),2026,JAN,"7,484"
17,STRONG HYBRID EV,West Bengal(59),2026,JAN,233
1,CNG ONLY,West Bengal(59),2026,FEB,135
2,DIESEL,West Bengal(59),2026,FEB,"5,498"
3,DIESEL/HYBRID,West Bengal(59),2026,FEB,16
4,ELECTRIC(BOV),West Bengal(59),2026,FEB,"6,793"
5,ETHANOL,West Bengal(59),2026,FEB,1
6,LPG ONLY,West Bengal(59),2026,FEB,390
7,NOT APPLICABLE,West Bengal(59),2026,FEB,30
8,PETROL,West Bengal(59),2026,FEB,"15,680"
9,PETROL/CNG,West Bengal(59),2026,FEB,83
10,PETROL(E20)/CNG,West Bengal(59),2026,FEB,791
11,PETROL(E20)/HYBRID,West Bengal(59),2026,FEB,463
12,PETROL(E20)/LPG,West Bengal(59),2026,FEB,1
13,PETROL/ETHANOL,West Bengal(59),2026,FEB,"48,859"
14,PETROL/HYBRID,West Bengal(59),2026,FEB,74
15,PETROL/LPG,West Bengal(59),2026,FEB,0
16,PURE EV,West Bengal(59),2026,FEB,"4,850"
17,STRONG HYBRID EV,West Bengal(59),2026,FEB,124
