S No,Norms,State,Year,Month,Value
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,JAN,11
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,JAN,34
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,JAN,104
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,JAN,11
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,JAN,4
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,JAN,288
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,JAN,"23,92,902"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,JAN,12
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,JAN,"1,10,823"
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,JAN,4
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,JAN,12
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,JAN,"6,741"
13,EURO 1,All Vahan4 Running States (35/36),2026,JAN,7
14,EURO 2,All Vahan4 Running States (35/36),2026,JAN,0
15,EURO 3,All Vahan4 Running States (35/36),2026,JAN,6
16,EURO 6,All Vahan4 Running States (35/36),2026,JAN,10
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,JAN,"2,27,469"
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,JAN,"3,956"
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,JAN,42
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,FEB,14
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,FEB,10
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,FEB,93
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,FEB,9
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,FEB,3
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,FEB,160
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,FEB,"15,85,075"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,FEB,9
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,FEB,"64,275"
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,FEB,15
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,FEB,27
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,FEB,"4,813"
13,EURO 1,All Vahan4 Running States (35/36),2026,FEB,5
14,EURO 2,All Vahan4 Running States (35/36),2026,FEB,3
15,EURO 3,All Vahan4 Running States (35/36),2026,FEB,4
16,EURO 6,All Vahan4 Running States (35/36),2026,FEB,2
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,FEB,"1,46,362"
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,FEB,"3,070"
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,FEB,19
1,BHARAT STAGE VI,Andaman & Nicobar Island(3),2026,JAN,"1,054"
2,CEV STAGE V,Andaman & Nicobar Island(3),2026,JAN,1
3,NOT AVAILABLE,Andaman & Nicobar Island(3),2026,JAN,10
1,BHARAT STAGE VI,Andaman & Nicobar Island(3),2026,FEB,627
2,CEV STAGE V,Andaman & Nicobar Island(3),2026,FEB,0
3,NOT AVAILABLE,Andaman & Nicobar Island(3),2026,FEB,10
1,BHARAT STAGE III,Andhra Pradesh(84),2026,JAN,0
2,BHARAT STAGE VI,Andhra Pradesh(84),2026,JAN,"63,174"
3,BHARAT (TREM) STAGE III A,Andhra Pradesh(84),2026,JAN,"2,286"
4,CEV STAGE V,Andhra Pradesh(84),2026,JAN,238
5,NOT AVAILABLE,Andhra Pradesh(84),2026,JAN,"5,731"
6,TREM STAGE IV,Andhra Pradesh(84),2026,JAN,115
1,BHARAT STAGE III,Andhra Pradesh(84),2026,FEB,1
2,BHARAT STAGE VI,Andhra Pradesh(84),2026,FEB,"57,467"
3,BHARAT (TREM) STAGE III A,Andhra Pradesh(84),2026,FEB,"2,165"
4,CEV STAGE V,Andhra Pradesh(84),2026,FEB,213
5,NOT AVAILABLE,Andhra Pradesh(84),2026,FEB,"5,759"
6,TREM STAGE IV,Andhra Pradesh(84),2026,FEB,107
1,BHARAT STAGE IV,Arunachal Pradesh(29),2026,JAN,1
2,BHARAT STAGE VI,Arunachal Pradesh(29),2026,JAN,"3,361"
3,BHARAT (TREM) STAGE III A,Arunachal Pradesh(29),2026,JAN,46
4,CEV STAGE V,Arunachal Pradesh(29),2026,JAN,45
5,NOT AVAILABLE,Arunachal Pradesh(29),2026,JAN,22
6,TREM STAGE IV,Arunachal Pradesh(29),2026,JAN,2
1,BHARAT STAGE IV,Arunachal Pradesh(29),2026,FEB,1
2,BHARAT STAGE VI,Arunachal Pradesh(29),2026,FEB,"2,411"
3,BHARAT (TREM) STAGE III A,Arunachal Pradesh(29),2026,FEB,38
4,CEV STAGE V,Arunachal Pradesh(29),2026,FEB,37
5,NOT AVAILABLE,Arunachal Pradesh(29),2026,FEB,13
6,TREM STAGE IV,Arunachal Pradesh(29),2026,FEB,1
1,BHARAT STAGE III,Assam(33),2026,JAN,9
2,BHARAT STAGE III (CEV),Assam(33),2026,JAN,1
3,BHARAT STAGE III/IV,Assam(33),2026,JAN,1
4,BHARAT STAGE IV,Assam(33),2026,JAN,3
5,BHARAT STAGE VI,Assam(33),2026,JAN,"46,261"
6,BHARAT (TREM) STAGE III A,Assam(33),2026,JAN,653
7,CEV STAGE V,Assam(33),2026,JAN,97
8,EURO 6,Assam(33),2026,JAN,0
9,NOT AVAILABLE,Assam(33),2026,JAN,"7,144"
10,TREM STAGE IV,Assam(33),2026,JAN,14
1,BHARAT STAGE III,Assam(33),2026,FEB,7
2,BHARAT STAGE III (CEV),Assam(33),2026,FEB,0
3,BHARAT STAGE III/IV,Assam(33),2026,FEB,0
4,BHARAT STAGE IV,Assam(33),2026,FEB,42
5,BHARAT STAGE VI,Assam(33),2026,FEB,"29,636"
6,BHARAT (TREM) STAGE III A,Assam(33),2026,FEB,458
7,CEV STAGE V,Assam(33),2026,FEB,60
8,EURO 6,Assam(33),2026,FEB,1
9,NOT AVAILABLE,Assam(33),2026,FEB,"5,836"
10,TREM STAGE IV,Assam(33),2026,FEB,18
1,BHARAT STAGE VI,Bihar(48),2026,JAN,"1,03,411"
2,BHARAT (TREM) STAGE III A,Bihar(48),2026,JAN,"3,508"
3,CEV STAGE V,Bihar(48),2026,JAN,146
4,NOT AVAILABLE,Bihar(48),2026,JAN,"11,819"
5,TREM STAGE IV,Bihar(48),2026,JAN,102
1,BHARAT STAGE VI,Bihar(48),2026,FEB,"82,285"
2,BHARAT (TREM) STAGE III A,Bihar(48),2026,FEB,"2,145"
3,CEV STAGE V,Bihar(48),2026,FEB,104
4,NOT AVAILABLE,Bihar(48),2026,FEB,"7,758"
5,TREM STAGE IV,Bihar(48),2026,FEB,67
1,BHARAT STAGE VI,Chhattisgarh(31),2026,JAN,"64,452"
2,BHARAT (TREM) STAGE III A,Chhattisgarh(31),2026,JAN,"4,318"
3,CEV STAGE V,Chhattisgarh(31),2026,JAN,357
4,NOT AVAILABLE,Chhattisgarh(31),2026,JAN,"5,657"
5,TREM STAGE IV,Chhattisgarh(31),2026,JAN,146
1,BHARAT STAGE VI,Chhattisgarh(31),2026,FEB,"44,503"
2,BHARAT (TREM) STAGE III A,Chhattisgarh(31),2026,FEB,"2,662"
3,CEV STAGE V,Chhattisgarh(31),2026,FEB,299
4,NOT AVAILABLE,Chhattisgarh(31),2026,FEB,"3,494"
5,TREM STAGE IV,Chhattisgarh(31),2026,FEB,128
1,BHARAT STAGE III,Chandigarh(1),2026,JAN,7
2,BHARAT STAGE VI,Chandigarh(1),2026,JAN,"4,249"
3,CEV STAGE V,Chandigarh(1),2026,JAN,0
4,NOT AVAILABLE,Chandigarh(1),2026,JAN,523
1,BHARAT STAGE III,Chandigarh(1),2026,FEB,0
2,BHARAT STAGE VI,Chandigarh(1),2026,FEB,"2,701"
3,CEV STAGE V,Chandigarh(1),2026,FEB,2
4,NOT AVAILABLE,Chandigarh(1),2026,FEB,274
1,BHARAT STAGE VI,UT of DNH and DD(3),2026,JAN,"2,400"
2,BHARAT (TREM) STAGE III A,UT of DNH and DD(3),2026,JAN,0
3,CEV STAGE V,UT of DNH and DD(3),2026,JAN,11
4,NOT AVAILABLE,UT of DNH and DD(3),2026,JAN,21
1,BHARAT STAGE VI,UT of DNH and DD(3),2026,FEB,"1,823"
2,BHARAT (TREM) STAGE III A,UT of DNH and DD(3),2026,FEB,8
3,CEV STAGE V,UT of DNH and DD(3),2026,FEB,7
4,NOT AVAILABLE,UT of DNH and DD(3),2026,FEB,33
1,BHARAT STAGE IV,Delhi(16),2026,JAN,5
2,BHARAT STAGE VI,Delhi(16),2026,JAN,"77,680"
3,CEV STAGE V,Delhi(16),2026,JAN,0
4,NOT AVAILABLE,Delhi(16),2026,JAN,"7,500"
1,BHARAT STAGE IV,Delhi(16),2026,FEB,6
2,BHARAT STAGE VI,Delhi(16),2026,FEB,"42,880"
3,CEV STAGE V,Delhi(16),2026,FEB,16
4,NOT AVAILABLE,Delhi(16),2026,FEB,"3,630"
1,BHARAT STAGE VI,Goa(13),2026,JAN,"7,377"
2,BHARAT (TREM) STAGE III A,Goa(13),2026,JAN,2
3,CEV STAGE V,Goa(13),2026,JAN,15
4,NOT AVAILABLE,Goa(13),2026,JAN,764
1,BHARAT STAGE VI,Goa(13),2026,FEB,"4,900"
2,BHARAT (TREM) STAGE III A,Goa(13),2026,FEB,1
3,CEV STAGE V,Goa(13),2026,FEB,3
4,NOT AVAILABLE,Goa(13),2026,FEB,519
1,BHARAT STAGE VI,Gujarat(37),2026,JAN,"1,85,030"
2,BHARAT (TREM) STAGE III A,Gujarat(37),2026,JAN,"15,423"
3,CEV STAGE V,Gujarat(37),2026,JAN,913
4,NOT AVAILABLE,Gujarat(37),2026,JAN,"7,983"
5,TREM STAGE IV,Gujarat(37),2026,JAN,95
1,BHARAT STAGE VI,Gujarat(37),2026,FEB,"1,25,292"
2,BHARAT (TREM) STAGE III A,Gujarat(37),2026,FEB,"4,635"
3,CEV STAGE V,Gujarat(37),2026,FEB,767
4,NOT AVAILABLE,Gujarat(37),2026,FEB,"5,706"
5,TREM STAGE IV,Gujarat(37),2026,FEB,46
1,BHARAT STAGE II,Himachal Pradesh(96),2026,JAN,28
2,BHARAT STAGE III,Himachal Pradesh(96),2026,JAN,7
3,BHARAT STAGE III/IV,Himachal Pradesh(96),2026,JAN,2
4,BHARAT STAGE IV,Himachal Pradesh(96),2026,JAN,4
5,BHARAT STAGE VI,Himachal Pradesh(96),2026,JAN,"14,883"
6,BHARAT (TREM) STAGE III A,Himachal Pradesh(96),2026,JAN,302
7,CEV STAGE IV,Himachal Pradesh(96),2026,JAN,1
8,CEV STAGE V,Himachal Pradesh(96),2026,JAN,39
9,NOT AVAILABLE,Himachal Pradesh(96),2026,JAN,154
10,TREM STAGE IV,Himachal Pradesh(96),2026,JAN,3
1,BHARAT STAGE II,Himachal Pradesh(96),2026,FEB,0
2,BHARAT STAGE III,Himachal Pradesh(96),2026,FEB,0
3,BHARAT STAGE III/IV,Himachal Pradesh(96),2026,FEB,0
4,BHARAT STAGE IV,Himachal Pradesh(96),2026,FEB,0
5,BHARAT STAGE VI,Himachal Pradesh(96),2026,FEB,"8,795"
6,BHARAT (TREM) STAGE III A,Himachal Pradesh(96),2026,FEB,125
7,CEV STAGE IV,Himachal Pradesh(96),2026,FEB,0
8,CEV STAGE V,Himachal Pradesh(96),2026,FEB,23
9,NOT AVAILABLE,Himachal Pradesh(96),2026,FEB,103
10,TREM STAGE IV,Himachal Pradesh(96),2026,FEB,1
1,BHARAT STAGE III (CEV),Haryana(104),2026,JAN,3
2,BHARAT STAGE IV,Haryana(104),2026,JAN,0
3,BHARAT STAGE VI,Haryana(104),2026,JAN,"95,250"
4,BHARAT (TREM) STAGE III,Haryana(104),2026,JAN,0
5,BHARAT (TREM) STAGE III A,Haryana(104),2026,JAN,"5,197"
6,BHARAT (TREM) STAGE III B,Haryana(104),2026,JAN,4
7,CEV STAGE IV,Haryana(104),2026,JAN,1
8,CEV STAGE V,Haryana(104),2026,JAN,265
9,NOT AVAILABLE,Haryana(104),2026,JAN,"2,731"
10,TREM STAGE IV,Haryana(104),2026,JAN,243
11,TREM STAGE V,Haryana(104),2026,JAN,0
1,BHARAT STAGE III (CEV),Haryana(104),2026,FEB,3
2,BHARAT STAGE IV,Haryana(104),2026,FEB,2
3,BHARAT STAGE VI,Haryana(104),2026,FEB,"60,371"
4,BHARAT (TREM) STAGE III,Haryana(104),2026,FEB,1
5,BHARAT (TREM) STAGE III A,Haryana(104),2026,FEB,"3,778"
6,BHARAT (TREM) STAGE III B,Haryana(104),2026,FEB,15
7,CEV STAGE IV,Haryana(104),2026,FEB,3
8,CEV STAGE V,Haryana(104),2026,FEB,252
9,NOT AVAILABLE,Haryana(104),2026,FEB,"1,764"
10,TREM STAGE IV,Haryana(104),2026,FEB,262
11,TREM STAGE V,Haryana(104),2026,FEB,2
1,BHARAT STAGE III (CEV),Jharkhand(25),2026,JAN,0
2,BHARAT STAGE VI,Jharkhand(25),2026,JAN,"53,646"
3,BHARAT (TREM) STAGE III A,Jharkhand(25),2026,JAN,"1,519"
4,CEV STAGE IV,Jharkhand(25),2026,JAN,1
5,CEV STAGE V,Jharkhand(25),2026,JAN,81
6,NOT AVAILABLE,Jharkhand(25),2026,JAN,"2,797"
7,TREM STAGE IV,Jharkhand(25),2026,JAN,9
1,BHARAT STAGE III (CEV),Jharkhand(25),2026,FEB,2
2,BHARAT STAGE VI,Jharkhand(25),2026,FEB,"34,892"
3,BHARAT (TREM) STAGE III A,Jharkhand(25),2026,FEB,"1,244"
4,CEV STAGE IV,Jharkhand(25),2026,FEB,11
5,CEV STAGE V,Jharkhand(25),2026,FEB,59
6,NOT AVAILABLE,Jharkhand(25),2026,FEB,"2,265"
7,TREM STAGE IV,Jharkhand(25),2026,FEB,8
1,BHARAT STAGE III,Jammu and Kashmir(21),2026,JAN,1
2,BHARAT STAGE VI,Jammu and Kashmir(21),2026,JAN,"13,298"
3,BHARAT (TREM) STAGE III,Jammu and Kashmir(21),2026,JAN,3
4,BHARAT (TREM) STAGE III A,Jammu and Kashmir(21),2026,JAN,346
5,CEV STAGE V,Jammu and Kashmir(21),2026,JAN,27
6,NOT AVAILABLE,Jammu and Kashmir(21),2026,JAN,850
7,TREM STAGE IV,Jammu and Kashmir(21),2026,JAN,6
1,BHARAT STAGE III,Jammu and Kashmir(21),2026,FEB,0
2,BHARAT STAGE VI,Jammu and Kashmir(21),2026,FEB,"11,331"
3,BHARAT (TREM) STAGE III,Jammu and Kashmir(21),2026,FEB,1
4,BHARAT (TREM) STAGE III A,Jammu and Kashmir(21),2026,FEB,218
5,CEV STAGE V,Jammu and Kashmir(21),2026,FEB,38
6,NOT AVAILABLE,Jammu and Kashmir(21),2026,FEB,750
7,TREM STAGE IV,Jammu and Kashmir(21),2026,FEB,1
1,BHARAT STAGE I,Karnataka(68),2026,JAN,0
2,BHARAT STAGE III,Karnataka(68),2026,JAN,5
3,BHARAT STAGE III (CEV),Karnataka(68),2026,JAN,1
4,BHARAT STAGE IV,Karnataka(68),2026,JAN,6
5,BHARAT STAGE VI,Karnataka(68),2026,JAN,"1,67,378"
6,BHARAT (TREM) STAGE III,Karnataka(68),2026,JAN,4
7,BHARAT (TREM) STAGE III A,Karnataka(68),2026,JAN,"6,529"
8,CEV STAGE IV,Karnataka(68),2026,JAN,2
9,CEV STAGE V,Karnataka(68),2026,JAN,532
10,EURO 6,Karnataka(68),2026,JAN,1
11,NOT AVAILABLE,Karnataka(68),2026,JAN,"21,062"
12,TREM STAGE IV,Karnataka(68),2026,JAN,108
13,TREM STAGE V,Karnataka(68),2026,JAN,3
1,BHARAT STAGE I,Karnataka(68),2026,FEB,1
2,BHARAT STAGE III,Karnataka(68),2026,FEB,0
3,BHARAT STAGE III (CEV),Karnataka(68),2026,FEB,0
4,BHARAT STAGE IV,Karnataka(68),2026,FEB,2
5,BHARAT STAGE VI,Karnataka(68),2026,FEB,"1,06,517"
6,BHARAT (TREM) STAGE III,Karnataka(68),2026,FEB,1
7,BHARAT (TREM) STAGE III A,Karnataka(68),2026,FEB,"4,612"
8,CEV STAGE IV,Karnataka(68),2026,FEB,2
9,CEV STAGE V,Karnataka(68),2026,FEB,258
10,EURO 6,Karnataka(68),2026,FEB,0
11,NOT AVAILABLE,Karnataka(68),2026,FEB,"12,970"
12,TREM STAGE IV,Karnataka(68),2026,FEB,82
13,TREM STAGE V,Karnataka(68),2026,FEB,4
1,BHARAT STAGE IV,Kerala(87),2026,JAN,3
