state_code,state_name,metric,year,count,growth_pct
-1,All India,registrations,Till Today,417663328,
-1,All India,registrations,2026:,4385834,
-1,All India,registrations,2025:,28253418,7.79%
-1,All India,registrations,2024:,26210514,9.17%
-1,All India,registrations,2023:,24009647,11.26%
-1,All India,registrations,2022:,21579546,
-1,All India,transactions,Till Today,1726904630,
-1,All India,transactions,2026:,15414033,
-1,All India,transactions,2025:,104042663,7.22%
-1,All India,transactions,2024:,97033695,7.83%
-1,All India,transactions,2023:,89984536,6.38%
-1,All India,transactions,2022:,84583979,
-1,All India,revenue,Till Today,9097891078269,
-1,All India,revenue,2026:,168025884671,
-1,All India,revenue,2025:,1058575135796,7.23%
-1,All India,revenue,2024:,987238756251,12.61%
-1,All India,revenue,2023:,876711594521,16.36%
-1,All India,revenue,2022:,753453477008,
-1,All India,permits,Till Today,26716624,
-1,All India,permits,2026:,741724,
-1,All India,permits,2025:,4793503,16.99%
-1,All India,permits,2024:,4097243,16.52%
-1,All India,permits,2023:,3516328,60.00%
-1,All India,permits,2022:,2197669,
AN,Andaman & Nicobar Island,registrations,Till Today,417663328,
AN,Andaman & Nicobar Island,registrations,2026:,4385834,
AN,Andaman & Nicobar Island,registrations,2025:,28253418,7.79%
AN,Andaman & Nicobar Island,registrations,2024:,26210514,9.17%
AN,Andaman & Nicobar Island,registrations,2023:,24009647,11.26%
AN,Andaman & Nicobar Island,registrations,2022:,21579546,
AN,Andaman & Nicobar Island,transactions,Till Today,1726904630,
AN,Andaman & Nicobar Island,transactions,2026:,15414033,
AN,Andaman & Nicobar Island,transactions,2025:,104042663,7.22%
AN,Andaman & Nicobar Island,transactions,2024:,97033695,7.83%
AN,Andaman & Nicobar Island,transactions,2023:,89984536,6.38%
AN,Andaman & Nicobar Island,transactions,2022:,84583979,
AN,Andaman & Nicobar Island,revenue,Till Today,9097891078269,
AN,Andaman & Nicobar Island,revenue,2026:,168025884671,
AN,Andaman & Nicobar Island,revenue,2025:,1058575135796,7.23%
AN,Andaman & Nicobar Island,revenue,2024:,987238756251,12.61%
AN,Andaman & Nicobar Island,revenue,2023:,876711594521,16.36%
AN,Andaman & Nicobar Island,revenue,2022:,753453477008,
AN,Andaman & Nicobar Island,permits,Till Today,26716624,
AN,Andaman & Nicobar Island,permits,2026:,741724,
AN,Andaman & Nicobar Island,permits,2025:,4793503,16.99%
AN,Andaman & Nicobar Island,permits,2024:,4097243,16.52%
AN,Andaman & Nicobar Island,permits,2023:,3516328,60.00%
AN,Andaman & Nicobar Island,permits,2022:,2197669,
AP,Andhra Pradesh,registrations,Till Today,417663328,
AP,Andhra Pradesh,registrations,2026:,4385834,
AP,Andhra Pradesh,registrations,2025:,28253418,7.79%
AP,Andhra Pradesh,registrations,2024:,26210514,9.17%
AP,Andhra Pradesh,registrations,2023:,24009647,11.26%
AP,Andhra Pradesh,registrations,2022:,21579546,
AP,Andhra Pradesh,transactions,Till Today,1726904630,
AP,Andhra Pradesh,transactions,2026:,15414033,
AP,Andhra Pradesh,transactions,2025:,104042663,7.22%
AP,Andhra Pradesh,transactions,2024:,97033695,7.83%
AP,Andhra Pradesh,transactions,2023:,89984536,6.38%
AP,Andhra Pradesh,transactions,2022:,84583979,
AP,Andhra Pradesh,revenue,Till Today,9097891078269,
AP,Andhra Pradesh,revenue,2026:,168025884671,
AP,Andhra Pradesh,revenue,2025:,1058575135796,7.23%
AP,Andhra Pradesh,revenue,2024:,987238756251,12.61%
AP,Andhra Pradesh,revenue,2023:,876711594521,16.36%
AP,Andhra Pradesh,revenue,2022:,753453477008,
AP,Andhra Pradesh,permits,Till Today,26716624,
AP,Andhra Pradesh,permits,2026:,741724,
AP,Andhra Pradesh,permits,2025:,4793503,16.99%
AP,Andhra Pradesh,permits,2024:,4097243,16.52%
AP,Andhra Pradesh,permits,2023:,3516328,60.00%
AP,Andhra Pradesh,permits,2022:,2197669,
AR,Arunachal Pradesh,registrations,Till Today,417663328,
AR,Arunachal Pradesh,registrations,2026:,4385834,
AR,Arunachal Pradesh,registrations,2025:,28253418,7.79%
AR,Arunachal Pradesh,registrations,2024:,26210514,9.17%
AR,Arunachal Pradesh,registrations,2023:,24009647,11.26%
AR,Arunachal Pradesh,registrations,2022:,21579546,
AR,Arunachal Pradesh,transactions,Till Today,1726904630,
AR,Arunachal Pradesh,transactions,2026:,15414033,
AR,Arunachal Pradesh,transactions,2025:,104042663,7.22%
AR,Arunachal Pradesh,transactions,2024:,97033695,7.83%
AR,Arunachal Pradesh,transactions,2023:,89984536,6.38%
AR,Arunachal Pradesh,transactions,2022:,84583979,
AR,Arunachal Pradesh,revenue,Till Today,9097891078269,
AR,Arunachal Pradesh,revenue,2026:,168025884671,
AR,Arunachal Pradesh,revenue,2025:,1058575135796,7.23%
AR,Arunachal Pradesh,revenue,2024:,987238756251,12.61%
AR,Arunachal Pradesh,revenue,2023:,876711594521,16.36%
AR,Arunachal Pradesh,revenue,2022:,753453477008,
AR,Arunachal Pradesh,permits,Till Today,26716624,
AR,Arunachal Pradesh,permits,2026:,741724,
AR,Arunachal Pradesh,permits,2025:,4793503,16.99%
AR,Arunachal Pradesh,permits,2024:,4097243,16.52%
AR,Arunachal Pradesh,permits,2023:,3516328,60.00%
AR,Arunachal Pradesh,permits,2022:,2197669,
AS,Assam,registrations,Till Today,417663328,
AS,Assam,registrations,2026:,4385834,
AS,Assam,registrations,2025:,28253418,7.79%
AS,Assam,registrations,2024:,26210514,9.17%
AS,Assam,registrations,2023:,24009647,11.26%
AS,Assam,registrations,2022:,21579546,
AS,Assam,transactions,Till Today,1726904630,
AS,Assam,transactions,2026:,15414033,
AS,Assam,transactions,2025:,104042663,7.22%
AS,Assam,transactions,2024:,97033695,7.83%
AS,Assam,transactions,2023:,89984536,6.38%
AS,Assam,transactions,2022:,84583979,
AS,Assam,revenue,Till Today,9097891078269,
AS,Assam,revenue,2026:,168025884671,
AS,Assam,revenue,2025:,1058575135796,7.23%
AS,Assam,revenue,2024:,987238756251,12.61%
AS,Assam,revenue,2023:,876711594521,16.36%
AS,Assam,revenue,2022:,753453477008,
AS,Assam,permits,Till Today,26716624,
AS,Assam,permits,2026:,741724,
AS,Assam,permits,2025:,4793503,16.99%
AS,Assam,permits,2024:,4097243,16.52%
AS,Assam,permits,2023:,3516328,60.00%
AS,Assam,permits,2022:,2197669,
BR,Bihar,registrations,Till Today,417663328,
BR,Bihar,registrations,2026:,4385834,
BR,Bihar,registrations,2025:,28253418,7.79%
BR,Bihar,registrations,2024:,26210514,9.17%
BR,Bihar,registrations,2023:,24009647,11.26%
BR,Bihar,registrations,2022:,21579546,
BR,Bihar,transactions,Till Today,1726904630,
BR,Bihar,transactions,2026:,15414033,
BR,Bihar,transactions,2025:,104042663,7.22%
BR,Bihar,transactions,2024:,97033695,7.83%
BR,Bihar,transactions,2023:,89984536,6.38%
BR,Bihar,transactions,2022:,84583979,
BR,Bihar,revenue,Till Today,9097891078269,
BR,Bihar,revenue,2026:,168025884671,
BR,Bihar,revenue,2025:,1058575135796,7.23%
BR,Bihar,revenue,2024:,987238756251,12.61%
BR,Bihar,revenue,2023:,876711594521,16.36%
BR,Bihar,revenue,2022:,753453477008,
BR,Bihar,permits,Till Today,26716624,
BR,Bihar,permits,2026:,741724,
BR,Bihar,permits,2025:,4793503,16.99%
BR,Bihar,permits,2024:,4097243,16.52%
BR,Bihar,permits,2023:,3516328,60.00%
BR,Bihar,permits,2022:,2197669,
CG,Chhattisgarh,registrations,Till Today,417663328,
CG,Chhattisgarh,registrations,2026:,4385834,
CG,Chhattisgarh,registrations,2025:,28253418,7.79%
CG,Chhattisgarh,registrations,2024:,26210514,9.17%
CG,Chhattisgarh,registrations,2023:,24009647,11.26%
CG,Chhattisgarh,registrations,2022:,21579546,
CG,Chhattisgarh,transactions,Till Today,1726904630,
CG,Chhattisgarh,transactions,2026:,15414033,
CG,Chhattisgarh,transactions,2025:,104042663,7.22%
CG,Chhattisgarh,transactions,2024:,97033695,7.83%
CG,Chhattisgarh,transactions,2023:,89984536,6.38%
CG,Chhattisgarh,transactions,2022:,84583979,
CG,Chhattisgarh,revenue,Till Today,9097891078269,
CG,Chhattisgarh,revenue,2026:,168025884671,
CG,Chhattisgarh,revenue,2025:,1058575135796,7.23%
CG,Chhattisgarh,revenue,2024:,987238756251,12.61%
CG,Chhattisgarh,revenue,2023:,876711594521,16.36%
CG,Chhattisgarh,revenue,2022:,753453477008,
CG,Chhattisgarh,permits,Till Today,26716624,
CG,Chhattisgarh,permits,2026:,741724,
CG,Chhattisgarh,permits,2025:,4793503,16.99%
CG,Chhattisgarh,permits,2024:,4097243,16.52%
CG,Chhattisgarh,permits,2023:,3516328,60.00%
CG,Chhattisgarh,permits,2022:,2197669,
CH,Chandigarh,registrations,Till Today,417663328,
CH,Chandigarh,registrations,2026:,4385834,
CH,Chandigarh,registrations,2025:,28253418,7.79%
CH,Chandigarh,registrations,2024:,26210514,9.17%
CH,Chandigarh,registrations,2023:,24009647,11.26%
CH,Chandigarh,registrations,2022:,21579546,
CH,Chandigarh,transactions,Till Today,1726904630,
CH,Chandigarh,transactions,2026:,15414033,
CH,Chandigarh,transactions,2025:,104042663,7.22%
CH,Chandigarh,transactions,2024:,97033695,7.83%
CH,Chandigarh,transactions,2023:,89984536,6.38%
CH,Chandigarh,transactions,2022:,84583979,
CH,Chandigarh,revenue,Till Today,9097891078269,
CH,Chandigarh,revenue,2026:,168025884671,
CH,Chandigarh,revenue,2025:,1058575135796,7.23%
CH,Chandigarh,revenue,2024:,987238756251,12.61%
CH,Chandigarh,revenue,2023:,876711594521,16.36%
CH,Chandigarh,revenue,2022:,753453477008,
CH,Chandigarh,permits,Till Today,26716624,
CH,Chandigarh,permits,2026:,741724,
CH,Chandigarh,permits,2025:,4793503,16.99%
CH,Chandigarh,permits,2024:,4097243,16.52%
CH,Chandigarh,permits,2023:,3516328,60.00%
CH,Chandigarh,permits,2022:,2197669,
DD,UT of DNH and DD,registrations,Till Today,417663328,
DD,UT of DNH and DD,registrations,2026:,4385834,
DD,UT of DNH and DD,registrations,2025:,28253418,7.79%
DD,UT of DNH and DD,registrations,2024:,26210514,9.17%
DD,UT of DNH and DD,registrations,2023:,24009647,11.26%
DD,UT of DNH and DD,registrations,2022:,21579546,
DD,UT of DNH and DD,transactions,Till Today,1726904630,
DD,UT of DNH and DD,transactions,2026:,15414033,
DD,UT of DNH and DD,transactions,2025:,104042663,7.22%
DD,UT of DNH and DD,transactions,2024:,97033695,7.83%
DD,UT of DNH and DD,transactions,2023:,89984536,6.38%
DD,UT of DNH and DD,transactions,2022:,84583979,
DD,UT of DNH and DD,revenue,Till Today,9097891078269,
DD,UT of DNH and DD,revenue,2026:,168025884671,
DD,UT of DNH and DD,revenue,2025:,1058575135796,7.23%
DD,UT of DNH and DD,revenue,2024:,987238756251,12.61%
DD,UT of DNH and DD,revenue,2023:,876711594521,16.36%
DD,UT of DNH and DD,revenue,2022:,753453477008,
DD,UT of DNH and DD,permits,Till Today,26716624,
DD,UT of DNH and DD,permits,2026:,741724,
DD,UT of DNH and DD,permits,2025:,4793503,16.99%
DD,UT of DNH and DD,permits,2024:,4097243,16.52%
DD,UT of DNH and DD,permits,2023:,3516328,60.00%
DD,UT of DNH and DD,permits,2022:,2197669,
DL,Delhi,registrations,Till Today,417663328,
DL,Delhi,registrations,2026:,4385834,
DL,Delhi,registrations,2025:,28253418,7.79%
DL,Delhi,registrations,2024:,26210514,9.17%
DL,Delhi,registrations,2023:,24009647,11.26%
DL,Delhi,registrations,2022:,21579546,
DL,Delhi,transactions,Till Today,1726904630,
DL,Delhi,transactions,2026:,15414033,
DL,Delhi,transactions,2025:,104042663,7.22%
DL,Delhi,transactions,2024:,97033695,7.83%
DL,Delhi,transactions,2023:,89984536,6.38%
DL,Delhi,transactions,2022:,84583979,
DL,Delhi,revenue,Till Today,9097891078269,
DL,Delhi,revenue,2026:,168025884671,
DL,Delhi,revenue,2025:,1058575135796,7.23%
DL,Delhi,revenue,2024:,987238756251,12.61%
DL,Delhi,revenue,2023:,876711594521,16.36%
DL,Delhi,revenue,2022:,753453477008,
DL,Delhi,permits,Till Today,26716624,
DL,Delhi,permits,2026:,741724,
DL,Delhi,permits,2025:,4793503,16.99%
DL,Delhi,permits,2024:,4097243,16.52%
DL,Delhi,permits,2023:,3516328,60.00%
DL,Delhi,permits,2022:,2197669,
GA,Goa,registrations,Till Today,417663328,
GA,Goa,registrations,2026:,4385834,
GA,Goa,registrations,2025:,28253418,7.79%
GA,Goa,registrations,2024:,26210514,9.17%
GA,Goa,registrations,2023:,24009647,11.26%
GA,Goa,registrations,2022:,21579546,
GA,Goa,transactions,Till Today,1726904630,
GA,Goa,transactions,2026:,15414033,
GA,Goa,transactions,2025:,104042663,7.22%
GA,Goa,transactions,2024:,97033695,7.83%
GA,Goa,transactions,2023:,89984536,6.38%
GA,Goa,transactions,2022:,84583979,
GA,Goa,revenue,Till Today,9097891078269,
GA,Goa,revenue,2026:,168025884671,
GA,Goa,revenue,2025:,1058575135796,7.23%
GA,Goa,revenue,2024:,987238756251,12.61%
GA,Goa,revenue,2023:,876711594521,16.36%
GA,Goa,revenue,2022:,753453477008,
GA,Goa,permits,Till Today,26716624,
GA,Goa,permits,2026:,741724,
GA,Goa,permits,2025:,4793503,16.99%
GA,Goa,permits,2024:,4097243,16.52%
GA,Goa,permits,2023:,3516328,60.00%
GA,Goa,permits,2022:,2197669,
GJ,Gujarat,registrations,Till Today,417663328,
GJ,Gujarat,registrations,2026:,4385834,
GJ,Gujarat,registrations,2025:,28253418,7.79%
GJ,Gujarat,registrations,2024:,26210514,9.17%
GJ,Gujarat,registrations,2023:,24009647,11.26%
GJ,Gujarat,registrations,2022:,21579546,
GJ,Gujarat,transactions,Till Today,1726904630,
GJ,Gujarat,transactions,2026:,15414033,
GJ,Gujarat,transactions,2025:,104042663,7.22%
GJ,Gujarat,transactions,2024:,97033695,7.83%
GJ,Gujarat,transactions,2023:,89984536,6.38%
GJ,Gujarat,transactions,2022:,84583979,
GJ,Gujarat,revenue,Till Today,9097891078269,
GJ,Gujarat,revenue,2026:,168025884671,
GJ,Gujarat,revenue,2025:,1058575135796,7.23%
GJ,Gujarat,revenue,2024:,987238756251,12.61%
GJ,Gujarat,revenue,2023:,876711594521,16.36%
GJ,Gujarat,revenue,2022:,753453477008,
GJ,Gujarat,permits,Till Today,26716624,
GJ,Gujarat,permits,2026:,741724,
GJ,Gujarat,permits,2025:,4793503,16.99%
GJ,Gujarat,permits,2024:,4097243,16.52%
GJ,Gujarat,permits,2023:,3516328,60.00%
GJ,Gujarat,permits,2022:,2197669,
HP,Himachal Pradesh,registrations,Till Today,417663328,
HP,Himachal Pradesh,registrations,2026:,4385834,
HP,Himachal Pradesh,registrations,2025:,28253418,7.79%
HP,Himachal Pradesh,registrations,2024:,26210514,9.17%
HP,Himachal Pradesh,registrations,2023:,24009647,11.26%
HP,Himachal Pradesh,registrations,2022:,21579546,
HP,Himachal Pradesh,transactions,Till Today,1726904630,
HP,Himachal Pradesh,transactions,2026:,15414033,
HP,Himachal Pradesh,transactions,2025:,104042663,7.22%
HP,Himachal Pradesh,transactions,2024:,97033695,7.83%
HP,Himachal Pradesh,transactions,2023:,89984536,6.38%
HP,Himachal Pradesh,transactions,2022:,84583979,
HP,Himachal Pradesh,revenue,Till Today,9097891078269,
HP,Himachal Pradesh,revenue,2026:,168025884671,
HP,Himachal Pradesh,revenue,2025:,1058575135796,7.23%
HP,Himachal Pradesh,revenue,2024:,987238756251,12.61%
HP,Himachal Pradesh,revenue,2023:,876711594521,16.36%
HP,Himachal Pradesh,revenue,2022:,753453477008,
HP,Himachal Pradesh,permits,Till Today,26716624,
HP,Himachal Pradesh,permits,2026:,741724,
HP,Himachal Pradesh,permits,2025:,4793503,16.99%
HP,Himachal Pradesh,permits,2024:,4097243,16.52%
HP,Himachal Pradesh,permits,2023:,3516328,60.00%
HP,Himachal Pradesh,permits,2022:,2197669,
HR,Haryana,registrations,Till Today,417663328,
HR,Haryana,registrations,2026:,4385834,
HR,Haryana,registrations,2025:,28253418,7.79%
HR,Haryana,registrations,2024:,26210514,9.17%
HR,Haryana,registrations,2023:,24009647,11.26%
HR,Haryana,registrations,2022:,21579546,
HR,Haryana,transactions,Till Today,1726904630,
HR,Haryana,transactions,2026:,15414033,
HR,Haryana,transactions,2025:,104042663,7.22%
HR,Haryana,transactions,2024:,97033695,7.83%
HR,Haryana,transactions,2023:,89984536,6.38%
HR,Haryana,transactions,2022:,84583979,
HR,Haryana,revenue,Till Today,9097891078269,
HR,Haryana,revenue,2026:,168025884671,
HR,Haryana,revenue,2025:,1058575135796,7.23%
HR,Haryana,revenue,2024:,987238756251,12.61%
HR,Haryana,revenue,2023:,876711594521,16.36%
HR,Haryana,revenue,2022:,753453477008,
HR,Haryana,permits,Till Today,26716624,
HR,Haryana,permits,2026:,741724,
HR,Haryana,permits,2025:,4793503,16.99%
HR,Haryana,permits,2024:,4097243,16.52%
HR,Haryana,permits,2023:,3516328,60.00%
HR,Haryana,permits,2022:,2197669,
JH,Jharkhand,registrations,Till Today,417663328,
JH,Jharkhand,registrations,2026:,4385834,
JH,Jharkhand,registrations,2025:,28253418,7.79%
JH,Jharkhand,registrations,2024:,26210514,9.17%
JH,Jharkhand,registrations,2023:,24009647,11.26%
JH,Jharkhand,registrations,2022:,21579546,
JH,Jharkhand,transactions,Till Today,1726904630,
JH,Jharkhand,transactions,2026:,15414033,
JH,Jharkhand,transactions,2025:,104042663,7.22%
JH,Jharkhand,transactions,2024:,97033695,7.83%
JH,Jharkhand,transactions,2023:,89984536,6.38%
JH,Jharkhand,transactions,2022:,84583979,
JH,Jharkhand,revenue,Till Today,9097891078269,
JH,Jharkhand,revenue,2026:,168025884671,
JH,Jharkhand,revenue,2025:,1058575135796,7.23%
JH,Jharkhand,revenue,2024:,987238756251,12.61%
JH,Jharkhand,revenue,2023:,876711594521,16.36%
JH,Jharkhand,revenue,2022:,753453477008,
JH,Jharkhand,permits,Till Today,26716624,
JH,Jharkhand,permits,2026:,741724,
JH,Jharkhand,permits,2025:,4793503,16.99%
JH,Jharkhand,permits,2024:,4097243,16.52%
JH,Jharkhand,permits,2023:,3516328,60.00%
JH,Jharkhand,permits,2022:,2197669,
JK,Jammu and Kashmir,registrations,Till Today,417663328,
JK,Jammu and Kashmir,registrations,2026:,4385834,
JK,Jammu and Kashmir,registrations,2025:,28253418,7.79%
JK,Jammu and Kashmir,registrations,2024:,26210514,9.17%
JK,Jammu and Kashmir,registrations,2023:,24009647,11.26%
JK,Jammu and Kashmir,registrations,2022:,21579546,
JK,Jammu and Kashmir,transactions,Till Today,1726904630,
JK,Jammu and Kashmir,transactions,2026:,15414033,
JK,Jammu and Kashmir,transactions,2025:,104042663,7.22%
JK,Jammu and Kashmir,transactions,2024:,97033695,7.83%
JK,Jammu and Kashmir,transactions,2023:,89984536,6.38%
JK,Jammu and Kashmir,transactions,2022:,84583979,
JK,Jammu and Kashmir,revenue,Till Today,9097891078269,
JK,Jammu and Kashmir,revenue,2026:,168025884671,
JK,Jammu and Kashmir,revenue,2025:,1058575135796,7.23%
JK,Jammu and Kashmir,revenue,2024:,987238756251,12.61%
JK,Jammu and Kashmir,revenue,2023:,876711594521,16.36%
JK,Jammu and Kashmir,revenue,2022:,753453477008,
JK,Jammu and Kashmir,permits,Till Today,26716624,
JK,Jammu and Kashmir,permits,2026:,741724,
JK,Jammu and Kashmir,permits,2025:,4793503,16.99%
JK,Jammu and Kashmir,permits,2024:,4097243,16.52%
JK,Jammu and Kashmir,permits,2023:,3516328,60.00%
JK,Jammu and Kashmir,permits,2022:,2197669,
KA,Karnataka,registrations,Till Today,417663328,
KA,Karnataka,registrations,2026:,4385834,
KA,Karnataka,registrations,2025:,28253418,7.79%
KA,Karnataka,registrations,2024:,26210514,9.17%
KA,Karnataka,registrations,2023:,24009647,11.26%
KA,Karnataka,registrations,2022:,21579546,
KA,Karnataka,transactions,Till Today,1726904630,
KA,Karnataka,transactions,2026:,15414033,
KA,Karnataka,transactions,2025:,104042663,7.22%
KA,Karnataka,transactions,2024:,97033695,7.83%
KA,Karnataka,transactions,2023:,89984536,6.38%
KA,Karnataka,transactions,2022:,84583979,
KA,Karnataka,revenue,Till Today,9097891078269,
KA,Karnataka,revenue,2026:,168025884671,
KA,Karnataka,revenue,2025:,1058575135796,7.23%
KA,Karnataka,revenue,2024:,987238756251,12.61%
KA,Karnataka,revenue,2023:,876711594521,16.36%
KA,Karnataka,revenue,2022:,753453477008,
KA,Karnataka,permits,Till Today,26716624,
KA,Karnataka,permits,2026:,741724,
KA,Karnataka,permits,2025:,4793503,16.99%
KA,Karnataka,permits,2024:,4097243,16.52%
KA,Karnataka,permits,2023:,3516328,60.00%
KA,Karnataka,permits,2022:,2197669,
KL,Kerala,registrations,Till Today,417663328,
KL,Kerala,registrations,2026:,4385834,
KL,Kerala,registrations,2025:,28253418,7.79%
KL,Kerala,registrations,2024:,26210514,9.17%
KL,Kerala,registrations,2023:,24009647,11.26%
KL,Kerala,registrations,2022:,21579546,
KL,Kerala,transactions,Till Today,1726904630,
KL,Kerala,transactions,2026:,15414033,
KL,Kerala,transactions,2025:,104042663,7.22%
KL,Kerala,transactions,2024:,97033695,7.83%
KL,Kerala,transactions,2023:,89984536,6.38%
KL,Kerala,transactions,2022:,84583979,
KL,Kerala,revenue,Till Today,9097891078269,
KL,Kerala,revenue,2026:,168025884671,
